Date;Return_incD;Return_excD
19281120;0.009581;0.00952
19281121;-0.014838;-0.014838
19281122;0.011802;0.011802
19281123;0.007901;0.007691
19281126;0.005248;0.004951
19281127;0.004298;0.004298
19281128;0.010691;0.010485
19281130;0.005214;0.00384
19281201;-0.009302;-0.009302
19281203;-0.007081;-0.007388
19281204;0.002371;0.002363
19281205;-0.004762;-0.004762
19281206;-0.036495;-0.036495
19281207;-0.02251;-0.022997
19281208;-0.018471;-0.018471
19281210;0.017698;0.017698
19281211;0.01853;0.018436
19281212;-0.008807;-0.008944
19281213;-0.002125;-0.002369
19281214;0.003327;0.003207
19281215;-0.002514;-0.002514
19281217;-0.003337;-0.003337
19281218;0.011638;0.011262
19281219;0.011883;0.011379
19281220;0.003513;0.003389
19281221;0.011578;0.011446
19281222;-0.000236;-0.000236
19281224;0.008951;0.008861
19281226;-0.003754;-0.003754
19281227;0.007906;0.007906
19281228;0.014128;0.013624
19281229;0.002216;0.002216
19281231;0.014362;0.013972
19290102;0.017256;0.017256
19290103;0.002465;0.002431
19290104;0.001184;0.001057
19290105;-0.010186;-0.010186
19290107;-0.013656;-0.013656
19290108;-0.001985;-0.001985
19290109;0.013212;0.013132
19290110;0.00242;0.00242
19290111;-0.000721;-0.001177
19290112;-0.003107;-0.003107
19290114;0.002665;0.002665
19290115;-0.011727;-0.012039
19290116;0.012332;0.012332
19290117;0.005983;0.00594
19290118;0.002633;0.002473
19290119;0.003726;0.003726
19290121;-0.001029;-0.001029
19290122;0.007639;0.007639
19290123;0.005704;0.005704
19290124;-0.007642;-0.007742
19290125;0.015526;0.01533
19290126;-0.000785;-0.000785
19290128;-0.002572;-0.002572
19290129;-0.000441;-0.000441
19290130;0.003503;0.003503
19290131;0.012158;0.012104
19290201;0.004345;0.003994
19290202;-0.000527;-0.000527
19290204;-0.006405;-0.006405
19290205;0.002224;0.002198
19290206;-0.008603;-0.008603
19290207;-0.028974;-0.028974
19290208;-0.010016;-0.010577
19290211;0.020921;0.020921
19290213;-0.00128;-0.001322
19290214;-0.003698;-0.003698
19290215;-0.017718;-0.018745
19290216;-0.012331;-0.012331
19290218;0.013916;0.013606
19290219;-0.000279;-0.000279
19290220;0.00823;0.00823
19290221;0.009661;0.009661
19290225;0.001474;0.001303
19290226;0.002577;0.002554
19290227;0.01135;0.01135
19290228;0.012808;0.01195
